v,tunning,n,dataset,task,params,acc,f1,cm,lang,embeddings
_grid,,0.0,brmoral,gender,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1], 'dropout_rate': 0.25, 'epochs': 100, 'batch_size': 30, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6664, 'optimizer': None, 'n_classes': 3}",0.5782608695652174,0.5740008783487043,"[[110 120]
 [ 74 156]]",pt,
_grid,,0.0,brmoral,age,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1], 'dropout_rate': 0.25, 'epochs': 100, 'batch_size': 30, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6664, 'optimizer': None, 'n_classes': 3}",0.3543307086614173,0.2586856791632129,"[[  2  24 101]
 [  1  24 102]
 [  0  18 109]]",pt,
_grid,,0.0,brmoral,religion,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1], 'dropout_rate': 0.25, 'epochs': 100, 'batch_size': 30, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6664, 'optimizer': None, 'n_classes': 3}",0.31712962962962965,0.3127332437677265,"[[32 37 75]
 [26 45 73]
 [30 54 60]]",pt,
_grid,,0.0,brmoral,education,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1], 'dropout_rate': 0.25, 'epochs': 100, 'batch_size': 30, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6664, 'optimizer': None, 'n_classes': 3}",0.3591731266149871,0.34425150457852105,"[[66 17 46]
 [56 23 50]
 [60 19 50]]",pt,
_grid,,0.0,brmoral,it,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1], 'dropout_rate': 0.25, 'epochs': 100, 'batch_size': 30, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6664, 'optimizer': None, 'n_classes': 3}",0.5705128205128205,0.5551393913598638,"[[177  57]
 [144  90]]",pt,
_grid,,0.0,brmoral,politics,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1], 'dropout_rate': 0.25, 'epochs': 100, 'batch_size': 30, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6664, 'optimizer': None, 'n_classes': 3}",0.30303030303030304,0.3015158641464508,"[[29 71 32]
 [35 49 48]
 [17 73 42]]",pt,
_grid,,0.0,brmoral,gender,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1], 'dropout_rate': 0.25, 'epochs': 100, 'batch_size': 30, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6697, 'optimizer': None, 'n_classes': 3}",0.5934782608695652,0.5918561010443207,"[[151  79]
 [108 122]]",pt,LILC-fasttext-100dim
_grid,,0.0,brmoral,age,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1], 'dropout_rate': 0.25, 'epochs': 100, 'batch_size': 30, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6697, 'optimizer': None, 'n_classes': 3}",0.33858267716535434,0.3324219330278406,"[[60 41 26]
 [56 36 35]
 [65 29 33]]",pt,LILC-fasttext-100dim
_grid,,0.0,brmoral,religion,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1], 'dropout_rate': 0.25, 'epochs': 100, 'batch_size': 30, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6697, 'optimizer': None, 'n_classes': 3}",0.33796296296296297,0.33420081111990085,"[[38 52 54]
 [29 45 70]
 [40 41 63]]",pt,LILC-fasttext-100dim
_grid,,0.0,brmoral,education,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1], 'dropout_rate': 0.25, 'epochs': 100, 'batch_size': 30, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6697, 'optimizer': None, 'n_classes': 3}",0.32041343669250644,0.2622190245509561,"[[59 69  1]
 [59 64  6]
 [66 62  1]]",pt,LILC-fasttext-100dim
_grid,,0.0,brmoral,it,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1], 'dropout_rate': 0.25, 'epochs': 100, 'batch_size': 30, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6697, 'optimizer': None, 'n_classes': 3}",0.5534188034188035,0.5502958579881657,"[[149  85]
 [124 110]]",pt,LILC-fasttext-100dim
_grid,,0.0,brmoral,politics,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1], 'dropout_rate': 0.25, 'epochs': 100, 'batch_size': 30, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6697, 'optimizer': None, 'n_classes': 3}",0.33585858585858586,0.2872690475994218,"[[65  4 63]
 [67  5 60]
 [63  6 63]]",pt,LILC-fasttext-100dim
_grid,,0.0,brmoral,gender,"{'features_maps': [10], 'kernel_size': [2], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 10, 'max_num_words': 6365, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.55,0.5033356109723084,"[[197  33]
 [174  56]]",pt,LILC-fasttext-100dim
_grid,,0.0,brmoral,gender,"{'features_maps': [10], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 10, 'max_num_words': 10, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5434782608695652,0.5431673728813561,"[[119 111]
 [ 99 131]]",pt,LILC-fasttext-100dim
_grid,,1.0,brmoral,gender,"{'features_maps': [10], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 50, 'max_num_words': 10, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5826086956521739,0.5814694063234513,"[[146  84]
 [108 122]]",pt,LILC-fasttext-100dim
_grid,,2.0,brmoral,gender,"{'features_maps': [10], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 10, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5673913043478261,0.5673892598736289,"[[130 100]
 [ 99 131]]",pt,LILC-fasttext-100dim
_grid,,3.0,brmoral,gender,"{'features_maps': [10], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 10, 'max_num_words': 100, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5978260869565217,0.5952071768673507,"[[119 111]
 [ 74 156]]",pt,LILC-fasttext-100dim
_grid,,4.0,brmoral,gender,"{'features_maps': [10], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 50, 'max_num_words': 100, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5652173913043478,0.5165121607702172,"[[ 57 173]
 [ 27 203]]",pt,LILC-fasttext-100dim
_grid,,5.0,brmoral,gender,"{'features_maps': [10], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 100, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5956521739130435,0.5945484873758435,"[[125 105]
 [ 81 149]]",pt,LILC-fasttext-100dim
_grid,,6.0,brmoral,gender,"{'features_maps': [10], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 10, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.6195652173913043,0.596933691837031,"[[ 88 142]
 [ 33 197]]",pt,LILC-fasttext-100dim
_grid,,7.0,brmoral,gender,"{'features_maps': [10], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 50, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5521739130434783,0.5119891232696111,"[[193  37]
 [169  61]]",pt,LILC-fasttext-100dim
_grid,,8.0,brmoral,gender,"{'features_maps': [10], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.6021739130434782,0.5995833154958117,"[[120 110]
 [ 73 157]]",pt,LILC-fasttext-100dim
_grid,,9.0,brmoral,gender,"{'features_maps': [10], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 10, 'max_num_words': 6324, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5521739130434783,0.5433341044028067,"[[159  71]
 [135  95]]",pt,LILC-fasttext-100dim
_grid,,10.0,brmoral,gender,"{'features_maps': [10], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 50, 'max_num_words': 6360, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5586956521739129,0.5586935666047571,"[[128 102]
 [101 129]]",pt,LILC-fasttext-100dim
_grid,,11.0,brmoral,gender,"{'features_maps': [10], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6447, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5630434782608695,0.5257464389948656,"[[194  36]
 [165  65]]",pt,LILC-fasttext-100dim
_grid,,12.0,brmoral,gender,"{'features_maps': [40], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 10, 'max_num_words': 10, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.55,0.5242591843158415,"[[ 73 157]
 [ 50 180]]",pt,LILC-fasttext-100dim
_grid,,13.0,brmoral,gender,"{'features_maps': [40], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 50, 'max_num_words': 10, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5695652173913044,0.5599489795918366,"[[ 97 133]
 [ 65 165]]",pt,LILC-fasttext-100dim
_grid,,14.0,brmoral,gender,"{'features_maps': [40], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 10, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5195652173913043,0.4838519691915577,"[[ 59 171]
 [ 50 180]]",pt,LILC-fasttext-100dim
_grid,,15.0,brmoral,gender,"{'features_maps': [40], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 10, 'max_num_words': 100, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.6282608695652174,0.6265648811473659,"[[129 101]
 [ 70 160]]",pt,LILC-fasttext-100dim
_grid,,16.0,brmoral,gender,"{'features_maps': [40], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 50, 'max_num_words': 100, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5956521739130435,0.5886538461538462,"[[107 123]
 [ 63 167]]",pt,LILC-fasttext-100dim
_grid,,17.0,brmoral,gender,"{'features_maps': [40], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 100, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5543478260869565,0.5530276099063871,"[[115 115]
 [ 90 140]]",pt,LILC-fasttext-100dim
_grid,,18.0,brmoral,gender,"{'features_maps': [40], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 10, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5543478260869565,0.5463707252776856,"[[158  72]
 [133  97]]",pt,LILC-fasttext-100dim
_grid,,19.0,brmoral,gender,"{'features_maps': [40], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 50, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5847826086956521,0.5701039755351682,"[[ 92 138]
 [ 53 177]]",pt,LILC-fasttext-100dim
_grid,,20.0,brmoral,gender,"{'features_maps': [40], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.6543478260869565,0.6518452582123868,"[[131  99]
 [ 60 170]]",pt,LILC-fasttext-100dim
_grid,,21.0,brmoral,gender,"{'features_maps': [40], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 10, 'max_num_words': 6306, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5739130434782609,0.5738405399784463,"[[135  95]
 [101 129]]",pt,LILC-fasttext-100dim
_grid,,22.0,brmoral,gender,"{'features_maps': [40], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 50, 'max_num_words': 6319, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5717391304347826,0.5526595088238924,"[[179  51]
 [146  84]]",pt,LILC-fasttext-100dim
_grid,,23.0,brmoral,gender,"{'features_maps': [40], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6344, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.6217391304347826,0.6212809448103566,"[[151  79]
 [ 95 135]]",pt,LILC-fasttext-100dim
_grid,,24.0,brmoral,gender,"{'features_maps': [80], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 10, 'max_num_words': 10, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5760869565217391,0.5758444100832707,"[[138  92]
 [103 127]]",pt,LILC-fasttext-100dim
_grid,,25.0,brmoral,gender,"{'features_maps': [80], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 50, 'max_num_words': 10, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5130434782608696,0.5125920039355925,"[[111 119]
 [105 125]]",pt,LILC-fasttext-100dim
_grid,,26.0,brmoral,gender,"{'features_maps': [80], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 10, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5391304347826087,0.5321974057870903,"[[ 96 134]
 [ 78 152]]",pt,LILC-fasttext-100dim
_grid,,27.0,brmoral,gender,"{'features_maps': [80], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 10, 'max_num_words': 100, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5673913043478261,0.5520978593272171,"[[ 88 142]
 [ 57 173]]",pt,LILC-fasttext-100dim
_grid,,28.0,brmoral,gender,"{'features_maps': [80], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 50, 'max_num_words': 100, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5652173913043478,0.5471014492753623,"[[176  54]
 [146  84]]",pt,LILC-fasttext-100dim
_grid,,29.0,brmoral,gender,"{'features_maps': [80], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 100, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5630434782608695,0.5552220281990966,"[[ 99 131]
 [ 70 160]]",pt,LILC-fasttext-100dim
_grid,,30.0,brmoral,gender,"{'features_maps': [80], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 10, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5391304347826087,0.519927536231884,"[[170  60]
 [152  78]]",pt,LILC-fasttext-100dim
_grid,,31.0,brmoral,gender,"{'features_maps': [80], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 50, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.55,0.5281443416468862,"[[176  54]
 [153  77]]",pt,LILC-fasttext-100dim
_grid,,32.0,brmoral,gender,"{'features_maps': [80], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.6478260869565218,0.6417307692307692,"[[119 111]
 [ 51 179]]",pt,LILC-fasttext-100dim
_grid,,33.0,brmoral,gender,"{'features_maps': [80], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 10, 'max_num_words': 6293, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.55,0.5482043471453176,"[[141  89]
 [118 112]]",pt,LILC-fasttext-100dim
_grid,,34.0,brmoral,gender,"{'features_maps': [80], 'kernel_size': [1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 50, 'max_num_words': 6407, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5826086956521739,0.5822217176590793,"[[141  89]
 [103 127]]",pt,LILC-fasttext-100dim
_grid,,0.0,brmoral,gender,"{'features_maps': [45], 'kernel_size': [2], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5956521739130435,0.5475409836065573,"[[ 62 168]
 [ 18 212]]",pt,LILC-fasttext-100dim
_grid,,1.0,brmoral,gender,"{'features_maps': [45], 'kernel_size': [3], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5369565217391304,0.4564849587565387,"[[212  18]
 [195  35]]",pt,LILC-fasttext-100dim
_grid,,2.0,brmoral,gender,"{'features_maps': [45], 'kernel_size': [9], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.6065217391304348,0.5682229517038235,"[[ 71 159]
 [ 22 208]]",pt,LILC-fasttext-100dim
_grid,,0.0,brmoral,gender,"{'features_maps': [45, 45], 'kernel_size': [1, 1], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.6369565217391304,0.63507845195738,"[[130 100]
 [ 67 163]]",pt,LILC-fasttext-100dim
_grid,,1.0,brmoral,gender,"{'features_maps': [45, 45], 'kernel_size': [3, 4], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.6282608695652174,0.6274845021997641,"[[155  75]
 [ 96 134]]",pt,LILC-fasttext-100dim
_grid,,2.0,brmoral,gender,"{'features_maps': [45, 45], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.6652173913043479,0.6641444311695208,"[[166  64]
 [ 90 140]]",pt,LILC-fasttext-100dim
_grid,,0.0,brmoral,gender,"{'features_maps': [60, 60], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5608695652173913,0.5131612037890855,"[[201  29]
 [173  57]]",pt,LILC-fasttext-100dim
_grid,,1.0,brmoral,gender,"{'features_maps': [80, 80], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.6,0.580981801619834,"[[187  43]
 [141  89]]",pt,LILC-fasttext-100dim
_grid,,2.0,brmoral,gender,"{'features_maps': [60, 60], 'kernel_size': [10, 10], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 32, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.6217391304347826,0.6151923076923077,"[[173  57]
 [117 113]]",pt,LILC-fasttext-100dim
_grid,,0.0,brmoral,gender,"{'features_maps': [60, 60], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 12, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.6,0.5738253005981753,"[[195  35]
 [149  81]]",pt,LILC-fasttext-100dim
_grid,,1.0,brmoral,gender,"{'features_maps': [80, 80], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 12, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.6217391304347826,0.6132884972170687,"[[177  53]
 [121 109]]",pt,LILC-fasttext-100dim
_grid,,2.0,brmoral,gender,"{'features_maps': [60, 60], 'kernel_size': [10, 10], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 12, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.6782608695652174,0.6768865685809208,"[[141  89]
 [ 59 171]]",pt,LILC-fasttext-100dim
_grid,,0.0,brmoral,gender,"{'features_maps': [60, 60], 'kernel_size': [10, 10], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 4, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.5695652173913044,0.5322033898305085,"[[ 66 164]
 [ 34 196]]",pt,LILC-fasttext-100dim
_grid,,1.0,brmoral,gender,"{'features_maps': [80, 80], 'kernel_size': [10, 10], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 4, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.6434782608695652,0.6425051179012814,"[[136  94]
 [ 70 160]]",pt,LILC-fasttext-100dim
_grid,,2.0,brmoral,gender,"{'features_maps': [60, 60], 'kernel_size': [14, 15], 'strides': [1], 'dropout_rate': None, 'epochs': 100, 'batch_size': 4, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 500, 'dense_units': [512], 'optimizer': None, 'n_classes': 2}",0.6217391304347826,0.6185592557997674,"[[122 108]
 [ 66 164]]",pt,LILC-fasttext-100dim
